subject activity meanX meanY meanZ stdX stdY stdZ
 6 WALKING_DOWNSTAIRS 0.277 -0.020 -0.107  0.384  0.360 -0.320
 6 SITTING            0.277 -0.015 -0.110 -0.980 -0.924 -0.926
 6 STANDING           0.280 -0.018 -0.112 -0.982 -0.921 -0.926
 6 LAYING             0.249 -0.010 -0.133 -0.934 -0.925 -0.925
 7 WALKING            0.276 -0.019 -0.111 -0.327 -0.077  0.160
 7 WALKING_UPSTAIRS   0.249 -0.028 -0.144 -0.295 -0.326 -0.146
 7 WALKING_DOWNSTAIRS 0.280 -0.017 -0.097  0.066 -0.138 -0.064
 7 SITTING            0.285 -0.015 -0.122 -0.973 -0.909 -0.857
 7 STANDING           0.283 -0.015 -0.100 -0.979 -0.923 -0.917
 7 LAYING             0.250 -0.020 -0.101 -0.937 -0.926 -0.953
 8 WALKING            0.275 -0.019 -0.107 -0.174  0.381 -0.142
 8 WALKING_UPSTAIRS   0.259 -0.028 -0.115 -0.172  0.349  0.121
 8 WALKING_DOWNSTAIRS 0.283 -0.021 -0.108  0.024  0.344  0.134
 8 SITTING            0.267 -0.007 -0.104 -0.979 -0.927 -0.940
 8 STANDING           0.280 -0.015 -0.106 -0.989 -0.938 -0.926
 8 LAYING             0.261 -0.021 -0.102 -0.943 -0.935 -0.932
 9 WALKING            0.279 -0.018 -0.111 -0.238 -0.202 -0.058
 9 WALKING_UPSTAIRS   0.262 -0.020 -0.125 -0.361 -0.302 -0.253
 9 WALKING_DOWNSTAIRS 0.296 -0.020 -0.091  0.213 -0.208 -0.008
 9 SITTING            0.248 -0.027 -0.075 -0.957 -0.875 -0.832
 9 STANDING           0.282 -0.020 -0.095 -0.976 -0.939 -0.919
 9 LAYING             0.259 -0.021 -0.108 -0.942 -0.916 -0.941
10 WALKING            0.279 -0.017 -0.109 -0.179 -0.023 -0.396
10 WALKING_UPSTAIRS   0.267 -0.014 -0.118 -0.162 -0.006 -0.074
10 WALKING_DOWNSTAIRS 0.290 -0.020 -0.111  0.296  0.004 -0.184
10 SITTING            0.271 -0.015 -0.104 -0.983 -0.918 -0.968
10 STANDING           0.277 -0.016 -0.108 -0.978 -0.920 -0.941
10 LAYING             0.280 -0.024 -0.117 -0.968 -0.946 -0.959
11 WALKING            0.272 -0.017 -0.106 -0.423 -0.052 -0.531
11 WALKING_UPSTAIRS   0.264 -0.030 -0.107 -0.239 -0.103 -0.203
11 WALKING_DOWNSTAIRS 0.292 -0.018 -0.111  0.142  0.071 -0.324
11 SITTING            0.277 -0.015 -0.113 -0.983 -0.921 -0.968
11 STANDING           0.278 -0.017 -0.109 -0.995 -0.964 -0.986
11 LAYING             0.281 -0.018 -0.109 -0.985 -0.972 -0.971
12 WALKING            0.277 -0.016 -0.103 -0.129 -0.123 -0.411
12 WALKING_UPSTAIRS   0.273 -0.026 -0.107 -0.290 -0.104 -0.437
12 WALKING_DOWNSTAIRS 0.282 -0.018 -0.110  0.042  0.111 -0.425
12 SITTING            0.275 -0.016 -0.106 -0.983 -0.929 -0.940
12 STANDING           0.277 -0.017 -0.106 -0.981 -0.923 -0.921
12 LAYING             0.260 -0.018 -0.108 -0.955 -0.949 -0.948
13 WALKING            0.276 -0.019 -0.111 -0.347  0.142 -0.221
13 WALKING_UPSTAIRS   0.258 -0.028 -0.126 -0.296  0.104 -0.217
13 WALKING_DOWNSTAIRS 0.295 -0.014 -0.102 -0.068 -0.032 -0.158
13 SITTING            0.274 -0.006 -0.097 -0.990 -0.939 -0.939
13 STANDING           0.278 -0.017 -0.112 -0.991 -0.949 -0.968
13 LAYING             0.277 -0.020 -0.104 -0.969 -0.951 -0.950
14 WALKING            0.272 -0.022 -0.107 -0.403 -0.054  0.052
14 WALKING_UPSTAIRS   0.262 -0.020 -0.112 -0.309  0.307  0.609
14 WALKING_DOWNSTAIRS 0.293 -0.020 -0.093  0.018  0.379  0.452
14 SITTING            0.280 -0.009 -0.100 -0.976 -0.915 -0.923
14 STANDING           0.281 -0.015 -0.104 -0.973 -0.929 -0.922
14 LAYING             0.233 -0.011 -0.087 -0.918 -0.910 -0.900
15 WALKING            0.274 -0.017 -0.108 -0.328  0.139 -0.519
15 WALKING_UPSTAIRS   0.270 -0.029 -0.117 -0.026 -0.004 -0.380
15 WALKING_DOWNSTAIRS 0.280 -0.006 -0.111  0.406  0.187 -0.282
15 SITTING            0.273 -0.012 -0.114 -0.987 -0.922 -0.949
15 STANDING           0.279 -0.018 -0.106 -0.989 -0.932 -0.952
15 LAYING             0.289 -0.017 -0.119 -0.972 -0.963 -0.930
16 WALKING            0.276 -0.020 -0.109 -0.405 -0.315 -0.160
16 WALKING_UPSTAIRS   0.256 -0.014 -0.124 -0.397 -0.164 -0.129
16 WALKING_DOWNSTAIRS 0.296 -0.018 -0.120  0.207 -0.147  0.011
16 SITTING            0.281 -0.010 -0.089 -0.987 -0.952 -0.940
16 STANDING           0.283 -0.017 -0.104 -0.989 -0.960 -0.953
16 LAYING             0.274 -0.017 -0.107 -0.974 -0.943 -0.965
17 WALKING            0.272 -0.018 -0.110 -0.320 -0.018 -0.266
17 WALKING_UPSTAIRS   0.253 -0.023 -0.121 -0.063 -0.013 -0.230
17 WALKING_DOWNSTAIRS 0.294 -0.017 -0.089  0.188 -0.061 -0.231
17 SITTING            0.277 -0.014 -0.114 -0.994 -0.962 -0.966
17 STANDING           0.278 -0.017 -0.111 -0.991 -0.968 -0.970
17 LAYING             0.270 -0.017 -0.107 -0.973 -0.945 -0.953
18 WALKING            0.274 -0.018 -0.104 -0.376 -0.227 -0.428
18 WALKING_UPSTAIRS   0.265 -0.022 -0.113 -0.380 -0.211 -0.314
18 WALKING_DOWNSTAIRS 0.288 -0.017 -0.103 -0.303 -0.254 -0.419
18 SITTING            0.277 -0.013 -0.112 -0.994 -0.975 -0.978
18 STANDING           0.278 -0.017 -0.108 -0.992 -0.954 -0.962
18 LAYING             0.275 -0.017 -0.108 -0.985 -0.986 -0.988
19 WALKING            0.274 -0.019 -0.123 -0.049  0.182 -0.139
19 WALKING_UPSTAIRS   0.242 -0.030 -0.151 -0.129  0.176 -0.190
19 WALKING_DOWNSTAIRS 0.263 -0.015 -0.134  0.627  0.515  0.049
19 SITTING            0.274 -0.017 -0.109 -0.976 -0.950 -0.952
19 STANDING           0.278 -0.015 -0.109 -0.990 -0.944 -0.953
19 LAYING             0.273 -0.017 -0.109 -0.965 -0.973 -0.985
20 WALKING            0.273 -0.021 -0.114 -0.208  0.490 -0.229
20 WALKING_UPSTAIRS   0.252 -0.028 -0.121 -0.116  0.152 -0.229
20 WALKING_DOWNSTAIRS 0.296 -0.010 -0.105  0.075  0.617 -0.161
20 SITTING            0.278 -0.015 -0.108 -0.983 -0.936 -0.929
20 STANDING           0.278 -0.018 -0.100 -0.967 -0.875 -0.913
20 LAYING             0.240 -0.014 -0.104 -0.962 -0.964 -0.973
21 WALKING            0.279 -0.018 -0.104 -0.298  0.054 -0.169
21 WALKING_UPSTAIRS   0.265 -0.024 -0.125 -0.241  0.110 -0.220
21 WALKING_DOWNSTAIRS 0.301 -0.017 -0.098  0.224  0.301 -0.072
21 SITTING            0.278 -0.014 -0.112 -0.992 -0.967 -0.960
21 STANDING           0.277 -0.017 -0.110 -0.981 -0.944 -0.946
21 LAYING             0.271 -0.018 -0.103 -0.955 -0.957 -0.946
22 WALKING            0.279 -0.017 -0.107 -0.009  0.100 -0.213
22 WALKING_UPSTAIRS   0.248 -0.027 -0.118  0.084  0.250 -0.110
22 WALKING_DOWNSTAIRS 0.284 -0.020 -0.107  0.349  0.240 -0.326
22 SITTING            0.274 -0.012 -0.106 -0.978 -0.928 -0.918
22 STANDING           0.279 -0.016 -0.105 -0.985 -0.923 -0.942
22 LAYING             0.280 -0.014 -0.111 -0.948 -0.913 -0.943
23 WALKING            0.273 -0.018 -0.113 -0.314 -0.119  0.164
23 WALKING_UPSTAIRS   0.250 -0.032 -0.127 -0.244  0.045  0.101
23 WALKING_DOWNSTAIRS 0.290 -0.016 -0.099  0.044  0.108  0.230
23 SITTING            0.273 -0.013 -0.104 -0.988 -0.935 -0.906
23 STANDING           0.278 -0.018 -0.111 -0.985 -0.958 -0.929
23 LAYING             0.274 -0.022 -0.104 -0.957 -0.976 -0.973
24 WALKING            0.277 -0.023 -0.111 -0.471 -0.154 -0.289
24 WALKING_UPSTAIRS   0.270 -0.025 -0.114 -0.344 -0.117 -0.256
24 WALKING_DOWNSTAIRS 0.289 -0.015 -0.105 -0.083 -0.103 -0.206
24 SITTING            0.273 -0.013 -0.103 -0.991 -0.956 -0.957
24 STANDING           0.280 -0.014 -0.108 -0.987 -0.937 -0.930
24 LAYING             0.273 -0.017 -0.107 -0.968 -0.983 -0.974
25 WALKING            0.279 -0.019 -0.109 -0.596 -0.162 -0.437
25 WALKING_UPSTAIRS   0.278 -0.027 -0.126 -0.460 -0.223 -0.297
25 WALKING_DOWNSTAIRS 0.291 -0.021 -0.107 -0.254 -0.141 -0.458
25 SITTING            0.279 -0.015 -0.109 -0.992 -0.947 -0.965
25 STANDING           0.278 -0.016 -0.107 -0.992 -0.955 -0.965
25 LAYING             0.251 -0.019 -0.100 -0.909 -0.692 -0.717
26 WALKING            0.279 -0.015 -0.109 -0.340 -0.136 -0.333
26 WALKING_UPSTAIRS   0.273 -0.028 -0.122 -0.169 -0.049 -0.405
26 WALKING_DOWNSTAIRS 0.279 -0.013 -0.106  0.174 -0.012 -0.285
26 SITTING            0.258 -0.007 -0.097 -0.980 -0.941 -0.950
26 STANDING           0.281 -0.017 -0.110 -0.993 -0.949 -0.963
26 LAYING             0.272 -0.019 -0.105 -0.969 -0.983 -0.985
27 WALKING            0.277 -0.017 -0.113 -0.348 -0.187 -0.297
27 WALKING_UPSTAIRS   0.266 -0.020 -0.124 -0.295 -0.095 -0.231
27 WALKING_DOWNSTAIRS 0.298 -0.014 -0.113  0.167 -0.098 -0.240
27 SITTING            0.274 -0.016 -0.106 -0.989 -0.972 -0.966
27 STANDING           0.280 -0.017 -0.108 -0.992 -0.955 -0.962
27 LAYING             0.274 -0.018 -0.108 -0.978 -0.984 -0.987
28 WALKING            0.281 -0.016 -0.104 -0.293 -0.118 -0.301
28 WALKING_UPSTAIRS   0.262 -0.028 -0.122 -0.242 -0.147 -0.286
28 WALKING_DOWNSTAIRS 0.294 -0.022 -0.109  0.126  0.156 -0.341
28 SITTING            0.277 -0.019 -0.112 -0.983 -0.940 -0.937
28 STANDING           0.278 -0.017 -0.107 -0.978 -0.876 -0.905
28 LAYING             0.276 -0.017 -0.108 -0.969 -0.945 -0.956
29 WALKING            0.272 -0.016 -0.107 -0.174 -0.092 -0.243
29 WALKING_UPSTAIRS   0.265 -0.030 -0.118 -0.087 -0.122  0.100
29 WALKING_DOWNSTAIRS 0.293 -0.015 -0.098  0.167 -0.122 -0.223
29 SITTING            0.277 -0.017 -0.110 -0.991 -0.963 -0.968
29 STANDING           0.278 -0.017 -0.109 -0.996 -0.969 -0.980
29 LAYING             0.287 -0.017 -0.109 -0.984 -0.990 -0.987
30 WALKING            0.276 -0.018 -0.099 -0.346 -0.174 -0.120
30 WALKING_UPSTAIRS   0.271 -0.025 -0.125 -0.351 -0.127  0.025
30 WALKING_DOWNSTAIRS 0.283 -0.017 -0.100 -0.058 -0.027 -0.217
30 SITTING            0.268 -0.008 -0.100 -0.984 -0.938 -0.951
30 STANDING           0.277 -0.017 -0.109 -0.978 -0.892 -0.913
30 LAYING             0.281 -0.019 -0.104 -0.976 -0.954 -0.967
